,Book_title,Book_summary
10,The Woman Beyond the Attic: The V.C. Andrews Story,"This celebration of the woman who took us to the heights of a secluded attic and the depths of our own dark psyches reveals an intimate portrait of the famously private V.C. Andrews—featuring family photos, personal letters, a partial manuscript for an unpublished novel, and more.Best known for her internationally, multi-million-copy bestselling novel Flowers in the Attic, Cleo Virginia Andrews lived a fascinating life. Born to modest means, she came of age in the American South during the Great Depression and faced a series of increasingly challenging health issues. Yet, once she rose to international literary fame, she prided herself on her intense privacy. Now, The Woman Beyond the Attic aims to connect her personal life with the public novels for which she was famous. Based on Virginia’s own letters, and interviews with her dearest family members, her long-term ghostwriter Andrew Neiderman tells Virginia’s full story for the first time. The Woman Beyond the Attic is perfect for V.C. Andrews fans who pick up every new novel or for fans hoping to return to the favorite novelist of their adolescence. Eye-opening and intimate, The Woman Beyond the Attic is for anyone hoping to learn more about the enigmatic woman behind one of the most important novels of the 20th century."
11,In the Shadow of the Mountain: A Memoir of Courage,"Endless ice. Thin air. The threat of dropping into nothingness thousands of feet below. This is the climb Silvia Vasquez-Lavado braves in her page-turning, pulse-raising memoir following her journey to Mount Everest.A Latina hero in the elite macho tech world of Silicon Valley, privately, she was hanging by a thread. Deep in the throes of alcoholism, hiding her sexuality from her family, and repressing the abuse she’d suffered as a child, she started climbing. Something about the brute force required for the ascent― the risk and spirit and sheer size of the mountains and death’s close proximity―woke her up. She then took her biggest pain as a survivor to the biggest mountain: Everest.“The Mother of the World,” as it’s known in Nepal, allows few to reach her summit, but Silvia didn’t go alone. She gathered a group of young female survivors and led them to base camp alongside her. It was never easy. At times hair-raising, nerve-racking, and always challenging, Silvia remembers the acute anxiety of leading a group of novice climbers to Everest’s base, all the while coping with her own nerves of summiting. But, there were also moments of peace, joy, and healing with the strength of her fellow survivors and community propelling her forward.In the Shadow of the Mountain is a remarkable story of heroism, one which awakens in all of us a lust for adventure, an appetite for risk, and faith in our own resilience."
12,False,False
13,"The First Kennedys: An Immigrant Maid, Her Bartender Son, and the Humble Roots of a Dynasty","Based on genealogical breakthroughs and previously unreleased records, this is the first book to explore the inspiring story of the poor Irish refugee couple who escaped famine, created a life together in a city hostile to Irish, immigrants, and Catholics, and launched the Kennedy dynasty in America.Their Irish ancestry was a hallmark of the Kennedys’ initial political profile, as JFK leveraged his working-class roots to connect with blue-collar voters. Today, we remember this iconic American family as the vanguard of wealth, power, and style rather than as the descendants of poor immigrants. Here at last, we meet the first American Kennedys, Patrick and Bridget, who arrived as many thousands of others did following the Great Famine—penniless and hungry. Less than a decade after their marriage in Boston, Patrick’s sudden death left Bridget to raise their children single-handedly. Her rise from housemaid to shop owner in the face of rampant poverty and discrimination kept her family intact, allowing her only son P.J. to become a successful saloon owner and businessman. P.J. went on to become the first American Kennedy elected to public office—the first of many.Written by the grandson of an Irish immigrant couple and based on first-ever access to P.J. Kennedy’s private papers, The First Kennedys is a story of sacrifice and survival, resistance and reinvention: an American story."
14,Secrets of the Sprakkar: Iceland's Extraordinary Women and How They Are Changing the World,"The Canadian first lady of Iceland pens a book about why this tiny nation is leading the charge in gender equality, in the vein of The Moment of Lift.Iceland is the best place on earth to be a woman—but why?For the past twelve years, the World Economic Forum’s Global Gender Gap Report has ranked Iceland number one on its list of countries closing the gap in equality between men and women. What is it about Iceland that enables its society to make such meaningful progress in this ongoing battle, from electing the world’s first female president to passing legislation specifically designed to help even the playing field at work and at home?The answer is found in the country’s sprakkar, an ancient Icelandic word meaning extraordinary or outstanding women. Eliza Reid—Canadian born and raised, and now first lady of Iceland—examines her adopted homeland’s attitude toward women: the deep-seated cultural sense of fairness, the influence of current and historical role models, and, crucially, the areas where Iceland still has room for improvement. Throughout, she interviews dozens of sprakkar to tell their inspirational stories, and expertly weaves in her own experiences as an immigrant from small-town Canada. The result is an illuminating discussion of what it means to move through the world as a woman and how the rules of society play more of a role in who we view as equal than we may understand.What makes many women’s experiences there so positive? And what can we learn about fairness to benefit our society?Like influential and progressive first ladies Eleanor Roosevelt, Hillary Rodham Clinton, and Michelle Obama, Reid uses her platform to bring the best of her nation to the world. Secrets of the Sprakkar is a powerful and atmospheric portrait of a tiny country that could lead the way forward for us all."
15,Cost of Living: Essays,"The searing intimacy of Girl, Interrupted combined with the uncomfortable truths of The Empathy Exams in a collection of essays chronicling one woman’s experiences as both patient and caregiver, giving a unique perspective from both sides of the hospital bed.What does it cost to live?When we fall ill, our lives are itemized on a spreadsheet. A thousand dollars for a broken leg, a few hundred for a nasty cut while cooking dinner. Then there are the greater costs for even greater misfortunes. The car accidents, breast cancers, blood diseases, and dark depressions.When Emily Maloney was nineteen she tried to kill herself. An act that would not only cost a great deal personally, but also financially, sending her down a dark spiral of misdiagnoses, years spent in and out of hospitals and doctor’s offices, and tens of thousands owed in medical debt. To work to pay off this crippling burden, Emily becomes an emergency room technician. Doing the grunt work in a hospital, and taking care of patients at their most vulnerable moments, chronicling these interactions in searingly beautiful, surprising ways.Shocking and often slyly humorous, Cost of Living is a brilliant examination of just what exactly our troubled healthcare system asks us to pay, as well as a look at what goes on behind the scenes at our hospitals and in the minds of caregivers."
16,The Impossible City: A Hong Kong Memoir,"An insider's account of Hong Kong--from its tenacious counterculture and robust underground music scene, to its unique history of youth-led protest--that explores what it means to survive in a city of broken promises.Nothing survives in this city. But in a place that never allowed you to write your own history, even remembrance can be a radical act. Hong Kong has long been known as a city of extremes: a former colony of the United Kingdom that today exists at the margins of an authoritarian, ascendant China; a city rocked by mass protests, where residents once rallied against threats to their democracy and freedoms. But it is also misunderstood and often romanticized, its history and politics simplified for Western headlines. Drawing richly from her own experience, as well as interviews with musicians, protesters, and writers who have made Hong Kong their home, journalist Karen Cheung gives us an insider’s view of this remarkable city at a critical moment in history—both for Hong Kong and democracies around the world. Coming of age in the wake of Hong Kong’s reunification with China in 1997, Cheung traverses the multifold identities available to her in childhood and beyond, whether that was her experience at an English-speaking international school where her classmates would grow up to be “global citizens” struggling to fit in with the rest of Hong Kong, or within her deeply traditional, multilingual family. Along the way, Cheung gives a personal account of what it’s like to seek out affordable housing and mental healthcare in one of the world’s most expensive cities. She also takes us deep into Hong Kong’s vibrant indie music and literary scenes–youth-driven spaces of creative resistance. Inevitably, Cheung brings us with her to the protests, where her understanding of what it means to belong to Hong Kong finally crystallized. Weaving together memoir, cultural criticism, and reportage, The Impossible City transcends borders to chart the parallel journeys of both a young woman and a city as they navigate the various, sometimes contradictory, paths of coming into one’s own."
17,False,False
18,Revolutionary Prudence Wright: Leading the Minute Women in the Fight for Independence,"
Here is the first-ever picture book about female Revolutionary War activist Prudence Wright, who rallied the first and only group of minute women to fight the British, changing history in the process.
Prudence Wright had a spark of independence. Annoyed when the British king held back freedoms in colonial Massachusetts, feisty and fearless Prudence had enough. She said no! to British goods, determined to rely on her resourcefulness and ingenuity to get by. And when British troops continued to threaten the lives of her family and community, she assembled and led the minute women of Pepperell to break free of tradition. This untold story of a courageous and brave woman from the Revolutionary War continues to inspire today."
19,Poor Richard's Women: Ben Franklin in Love,"A colorful portrait of Deborah Read Franklin and the women who together clothed, fed, supported, nursed, and defended her husband, the original “self-made man.”We can’t seem to get enough of Ben Franklin—a man so confident in his own immortality that he tempted lightning to strike the same place twice. We know all about the key and the kite, the post offices, the libraries, the bifocals, the fire departments, and the almanacs. But what of the woman who raised his children, ran his businesses, built his house, and fought off angry mobs at gunpoint while he traipsed about England? Or, of the widow who Ben lived with in London for many years? Or, of the many other women who contributed to Ben’s life?Little interest has been paid to these women—most notably Deborah Read Franklin, Ben’s common-law wife and partner for forty-four years. Historians have described her as a “servile rather than…active contributor” to Franklin’s success, “a woman unlikely to accompany his restless mind,” or simply “neither educated nor interesting.” She has been relegated to the role of shrew, nag, and footnoted antagonist to a “great man’s” life. But, as Nancy Rubin Stuart’s account proves, Deborah’s life and the lives of other romantic acquaintances throughout Ben’s life were as complex and compelling as any. Using letters between Deborah and Ben and between Ben and his paramours, Stuart tells the tale of unassuming yet feisty, colonial woman who supported and cared for Ben throughout his life. What emerges is a colorful, poignant portrait of woman erased in history who, in the midst of their own struggles, ultimately achieve an independence rarely enjoyed by women of their time."
20,The Founders: The Story of Paypal and the Entrepreneurs Who Shaped Silicon Valley,"* Instant Bestseller * New York Times Editors’ Choice * “A gripping account of PayPal’s origins and a vivid portrait of the geeks and contrarians who made its meteoric rise possible” (Wall Street Journal)—including Elon Musk, Amy Rowe Klement, Peter Thiel, Julie Anderson, Max Levchin, Reid Hoffman, and many others whose stories have never been shared.  “Deeply reported and bracingly written, this book is an indispensable guide to modern innovation and entrepreneurship.” —Walter Isaacson, New York Times bestselling author of Code BreakerToday, PayPal’s founders and earliest employees are considered the technology industry’s most powerful network. Since leaving PayPal, they have formed, funded, and advised the leading companies of our era, including Tesla, Facebook, YouTube, SpaceX, Yelp, Palantir, and LinkedIn, among many others. As a group, they have driven twenty-first-century innovation and entrepreneurship. Their names stir passions; they’re as controversial as they are admired. Yet for all their influence, the story of where they first started has gone largely untold. Before igniting the commercial space race or jumpstarting social media’s rise, they were the unknown creators of a scrappy online payments start-up called PayPal. In building what became one of the world’s foremost companies, they faced bruising competition, internal strife, the emergence of widespread online fraud, and the devastating dot-com bust of the 2000s. Their success was anything but certain. In The Founders: The Story of PayPal and the Entrepreneurs Who Shaped Silicon Valley, award-winning author and biographer Jimmy Soni explores PayPal’s turbulent early days. With hundreds of interviews and unprecedented access to thousands of pages of internal material, he shows how the seeds of so much of what shapes our world today—fast-scaling digital start-ups, cashless currency concepts, mobile money transfer—were planted two decades ago. He also reveals the stories of countless individuals who were left out of the front-page features and banner headlines but who were central to PayPal’s success. Described as “an intensely magnetic chronicle” (The New York Times) and “engrossing” (Business Insider), The Founders is a story of iteration and inventiveness—the products of which have cast a long and powerful shadow over modern life. This narrative illustrates how this rare assemblage of talent came to work together and how their collaboration changed our world forever."
21,That's Betty!: The Story of Betty White,"An innovative and joyful picture book biography that celebrates the life and achievements of TV legend, pioneer, and activist Betty White.Betty White is a legend and icon (but you already knew that).In her eighty-year career, she has starred on some of the most beloved shows of all time (like The Mary Tyler Moore Show and The Golden Girls, along with dozens more) and has received multiple Emmy, American Comedy, and Screen Actors Guild Awards, as well as a Grammy and People's Choice Award, not to mention a star on the Hollywood Walk of Fame!More than creating some of the most memorable roles in history, Betty has helped to make the world a better and more equal place. Early in her career, at a time when women had little power in Hollywood, she starred in, directed, and produced her own shows, creating opportunities for other women and for people from marginalized groups. She has campaigned to end bullying and has stood up for the LGBTQIA+ community. And she has devoted much of her life advocating for the fair treatment of animals.This innovative picture book biography follows a young boy who is doing a class presentation about Betty White...with a little help from Betty herself! Whimsical yet fact-filled, That's Betty! tells the story of a life well-lived while celebrating Betty's many fans.A Who Did It First? Book"
22,White Lies: The Double Life of Walter F. White and America’s Darkest Secret,"A riveting biography of Walter White, a little-known Black civil rights leader who passed for white in order to investigate racist murders, help put the NAACP on the map, and change the racial identity of America foreverWalter White led two lives: one as a leader of the Harlem Renaissance and the NAACP in the early twentieth century; the other as a white newspaperman who covered lynching crimes in the Deep South at the blazing height of racial violence. Born mixed race and with very fair skin and straight hair, White was able to “pass” for white. He leveraged this ambiguity as a reporter, bringing to light the darkest crimes in America and helping to plant the seeds of the civil rights movement. White’s risky career led him to lead a double life. He was simultaneously a second-class citizen subject to Jim Crow laws at home and a widely respected professional with full access to the white world at work. His life was fraught with internal and external conflict—much like the story of race in America. Starting out as an obscure activist, White ultimately became Black America’s most prominent leader. A character study of White’s life and career with all these complexities has never been rendered, until now. By the award-winning, best-selling author of The Accidental President,Dewey Defeats Truman, and The Arsenal of Democracy,White Lies uncovers the life of a civil rights leader unlike any other.   "
23,Bird Brother: A Falconer's Journey and the Healing Power of Wildlife,"To escape the tough streets of Southeast Washington, D.C. in the late 1980s, young Rodney Stotts would ride the metro to the Smithsonian National Zoo. There, the bald eagles and other birds of prey captured his imagination for the first time. In Bird Brother, Rodney shares his unlikely journey to becoming a conservationist and one of America’s few Black master falconers. Rodney grew up during the crack epidemic, with guns, drugs, and the threat of incarceration an accepted part of daily life for nearly everyone he knew. To rent his own apartment, he needed a paycheck—something the money from dealing drugs didn’t provide. For that, he took a position in 1992 with a new nonprofit, the Earth Conservation Corps. Gradually, Rodney fell in love with the work to restore and conserve the polluted Anacostia River that flows through D.C. As conditions along the river improved, he helped to reintroduce bald eagles to the region and befriended an injured Eurasian Eagle Owl named Mr. Hoots, the first of many birds whose respect he would work hard to earn.Bird Brother is a story about pursuing dreams against all odds, and the importance of second chances. Rodney’s life was nearly upended when he was arrested on drug charges in 2002. The jail sentence sharpened his resolve to get out of the hustling life. With the fierceness of the raptors he had admired for so long, he began to train to become a master falconer and to develop his own raptor education program and sanctuary. Rodney’s son Mike, a D.C. firefighter, has also begun his journey to being a master falconer, with his own kids cheering him along the way. Eye-opening, witty, and moving, Bird Brother is a love letter to the raptors and humans who transformed what Rodney thought his life could be. It is an unflinching look at the uphill battle Black children face in pursuing stable, fulfilling lives, a testament to the healing power of nature, and a reminder that no matter how much heartbreak we’ve endured, we still have the capacity to give back to our communities and follow our wildest dreams."
24,Stalin's Library: A Dictator and his Books,"A compelling intellectual biography of Stalin told through his personal library   “[A] fascinating new study.”—Michael O’Donnell, Wall Street Journal   In this engaging life of the twentieth century’s most self-consciously learned dictator, Geoffrey Roberts explores the books Stalin read, how he read them, and what they taught him. Stalin firmly believed in the transformative potential of words and his voracious appetite for reading guided him throughout his years. A biography as well as an intellectual portrait, this book explores all aspects of Stalin’s tumultuous life and politics.   Stalin, an avid reader from an early age, amassed a surprisingly diverse personal collection of thousands of books, many of which he marked and annotated revealing his intimate thoughts, feelings, and beliefs. Based on his wide-ranging research in Russian archives, Roberts tells the story of the creation, fragmentation, and resurrection of Stalin’s personal library. As a true believer in communist ideology, Stalin was a fanatical idealist who hated his enemies—the bourgeoisie, kulaks, capitalists, imperialists, reactionaries, counter-revolutionaries, traitors—but detested their ideas even more."
25,"Sing, Aretha, Sing!: Aretha Franklin, Respect, and the Civil Rights Movement","A young Aretha Franklin captivates her community with the song “Respect” during the height of the Civil Rights Movement, in this striking picture book biography that will embolden today’s young readers to sing their own truth.When Aretha Franklin sang, she didn’t just sing…she sparked a movement. As a performer and a civil rights activist, the Queen of Soul used her voice to uplift freedom fighters and the Black community during the height of the 1960s Civil Rights Movement. Her song “Respect” was an anthem of identity, survival, and joy. It gave hope to people trying to make change. And when Aretha sang, the world sang along.With Hanif Abdurraqib’s poetic voice and Ashley Evans’s dynamic illustrations, Sing, Aretha, Sing! demonstrates how one brave voice can give new power to a nation, and how the legacy of Aretha Franklin lives on in a world still fighting for freedom."
26,Salmon P. Chase: Lincoln's Vital Rival,"From an acclaimed, New York Times bestselling biographer, a timely reassessment of Abraham Lincoln’s indispensable Secretary of the Treasury: a leading proponent for black rights both before and during his years in cabinet and later as Chief Justice of the United States.Salmon P. Chase is best remembered as a rival of Lincoln’s for the Republican nomination in 1860—but there would not have been a national Republican Party, and Lincoln could not have won the presidency, were it not for the vital groundwork Chase laid over the previous two decades. Starting in the early 1840s, long before Lincoln was speaking out against slavery, Chase was forming and leading antislavery parties. He represented fugitive slaves so often in his law practice that he was known as the attorney general for runaway negroes, and he furthered his reputation as an outspoken federal senator and progressive governor of Ohio. Tapped by Lincoln to become Secretary of the Treasury, Chase would soon prove vital to the Civil War effort, raising the billions of dollars that allowed the Union to win the war, while also pressing the president to emancipate the country’s slaves and recognize black rights. When Lincoln had the chance to appoint a chief justice in 1864, he chose his faithful rival, because he was sure Chase would make the right decisions on the difficult racial, political, and economic issues the Supreme Court would confront during Reconstruction. Drawing on previously overlooked sources, Walter Stahr sheds new light on a complex and fascinating political figure, as well as on the pivotal events of the Civil War and its aftermath. Salmon P. Chase tells the forgotten story of a man at the center of the fight for racial justice in 19th century America."
27,False,False
28,South to America: A Journey Below the Mason Dixon to Understand the Soul of a Nation,"An essential, surprising journey through the history, rituals, and landscapes of the American South—and a revelatory argument for why you must understand the South in order to understand AmericaWe all think we know the South. Even those who have never lived there can rattle off a list of signifiers: the Civil War, Gone with the Wind, the Ku Klux Klan, plantations, football, Jim Crow, slavery. But the idiosyncrasies, dispositions, and habits of the region are stranger and more complex than much of the country tends to acknowledge. In South to America, Imani Perry shows that the meaning of American is inextricably linked with the South, and that our understanding of its history and culture is the key to understanding the nation as a whole.This is the story of a Black woman and native Alabaman returning to the region she has always called home and considering it with fresh eyes. Her journey is full of detours, deep dives, and surprising encounters with places and people. She renders Southerners from all walks of life with sensitivity and honesty, sharing her thoughts about a troubling history and the ritual humiliations and joys that characterize so much of Southern life.Weaving together stories of immigrant communities, contemporary artists, exploitative opportunists, enslaved peoples, unsung heroes, her own ancestors, and her lived experiences, Imani Perry crafts a tapestry unlike any other. With uncommon insight and breathtaking clarity, South to America offers an assertion that if we want to build a more humane future for the United States, we must center our concern below the Mason-Dixon Line."
29,Lost & Found: A Memoir,"Eighteen months before Kathryn Schulz's father died, she met the woman she would marry. In Lost & Found, she weaves the story of those relationships into a brilliant exploration of the role that loss and discovery play in all of our lives. The resulting book is part memoir, part guidebook to living in a world that is simultaneously full of wonder and joy and wretchedness and suffering--a world that always demands both our gratitude and our grief. A staff writer at The New Yorker and winner of the Pulitzer Prize, Schulz writes with curiosity, tenderness, erudition, and wit about our finite yet infinitely complicated lives. Lost & Found is an enduring account of love in all its many forms from one of the great writers of our time."
30,Admissions: A Memoir of Surviving Boarding School,"“[C]harming and surprising. . . The work of Admissions is laying down, with wit and care, the burden James assumed at 15, that she — or any Black student, or all Black students — would manage the failures of a racially illiterate community. . . The best depiction of elite whiteness I’ve read.”—New York TimesA Most Anticipated Book by Vogue.com 
· 
Parade · Town & Country · Nylon ·New York Post · Lit Hub · BookRiot · Electric Literature · Glamour · Marie Claire · Publishers Weekly · Bustle · Fodor's Travel· Business Insider · Pop Sugar · InsideHook · SheReadsEarly on in Kendra James’ professional life, she began to feel like she was selling a lie. As an admissions officer specializing in diversity recruitment for independent prep schools, she persuaded students and families to embark on the same perilous journey she herself had made—to attend cutthroat and largely white schools similar to The Taft School, where she had been the first African-American legacy student only a few years earlier. Her new job forced her to reflect on her own elite education experience, and to realize how disillusioned she had become with America’s inequitable system.In ADMISSIONS, Kendra looks back at the three years she spent at Taft, chronicling clashes with her lily-white roommate, how she had to unlearn the respectability politics she'd been raised with, and the fall-out from a horrifying article in the student newspaper that accused Black and Latinx students of being responsible for segregation of campus. Through these stories, some troubling, others hilarious, she deconstructs the lies and half-truths she herself would later tell as an admissions professional, in addition to the myths about boarding schools perpetuated by popular culture.With its combination of incisive social critique and uproarious depictions of elite nonsense, ADMISSIONS will resonate with anyone who has ever been The Only One in a room, dealt with racial microaggressions, or even just suffered from an extreme case of homesickness."
